NO_PRODUK,NO_PELANGGAN,NO_WAKTU,JUMLAH_PENJUALAN
50550,521390,125,2
50570,521390,125,3
52085,521390,125,3
50550,535970,125,2
50550,502210,125,6
50570,502210,125,6
50600,502210,125,6
50610,502210,125,3
50630,502210,125,3
50660,502210,125,3
50810,502210,125,6
52055,502210,125,6
52065,502210,125,6
52075,502210,125,6
50550,,125,6
50570,,125,6
50600,,125,6
50610,,125,3
50630,,125,3
50660,,125,3
50690,,125,3
50700,,125,3
50720,,125,3
50770,,125,3
52015,,125,3
52055,,125,6
52065,,125,6
52075,,125,6
50435,526420,57,1
51415,526420,57,24
51435,526420,57,24
51660,526420,57,1
51415,,125,2
51425,,125,2
51435,,125,2
50445,,125,2
50455,,125,1
51055,,125,12
51540,,125,12
51130,,125,1
51140,,125,1
51685,,125,1
50155,504580,16,6
50165,504580,16,2
50515,504580,16,1
51095,504580,16,3
51250,504580,16,3
51265,504580,16,1
51280,504580,16,1
51305,504580,16,1
51610,504580,16,1
51705,504580,16,1
51415,548390,125,5
52055,529980,125,6
52065,529980,125,6
52085,529980,125,6
50365,527890,125,1
50385,527890,125,1
50600,527890,125,6
50610,527890,125,1
50630,527890,125,2
50660,527890,125,1
50680,527890,125,3
50690,527890,125,1
51415,527890,125,1
51435,527890,125,1
52075,527890,125,12
50570,,125,3
50600,,125,12
,,125,12
50610,,125,6
50630,,125,6
50660,,125,12
50690,,125,9
50810,,125,6
52005,,125,3
52015,,125,6
52055,,125,12
52065,,125,12
52075,,125,12
52085,,125,12
51415,506570,125,1
51425,506570,125,1
51415,527680,125,1
50145,,125,1
50620,,125,2
50630,,125,2
51105,,125,1
51115,,125,1
51685,,125,1
51695,,125,1
51725,,125,3
52055,,125,3
52065,,125,3
50155,502700,125,1
50445,502700,125,3
50455,502700,125,2
51685,502700,125,1
51695,502700,125,1
50105,,125,46
50110,,125,69
50115,,125,69
50120,,125,55
50125,,125,56
51005,,91,1
51025,,91,1
51040,,91,1
51045,,91,1
51055,,91,1
51015,,91,3
51035,,91,12
51005,501600,91,24
51015,501600,91,12
51040,501600,91,12
51055,501600,91,24
51045,501600,91,3
51530,,91,24
51540,,91,48
51550,,91,3
51530,502120,91,24
51540,502120,91,36
51550,502120,91,15
51105,,91,1
51415,,91,2
51425,,91,2
51435,,91,2
50600,501640,91,3
,501640,91,2
50690,501640,91,4
50430,,16,1
50445,,16,2
50455,,16,1
50465,,16,4
50640,,16,1
50650,,16,1
50730,,16,3
50750,,16,1
50760,,16,2
50910,,16,1
51930,,16,2
51940,,16,2
51950,,16,2
50750,,103,3
52055,,103,3
52065,,103,3
52075,,103,3
52085,,103,3
50365,,103,1
50385,,103,1
50730,,103,3
50760,,103,3
51425,,103,2
51745,,103,1
51765,,103,1
52055,,103,3
50445,535660,103,4
50455,535660,103,1
51005,506400,103,1
51040,506400,103,1
51045,506400,103,1
51050,506400,103,1
51055,506400,103,1
51020,506400,103,19
50600,,103,3
50090,505550,103,1
50335,505550,103,2
50345,505550,103,2
51540,505550,103,12
50550,501770,103,3
50600,501770,103,3
51005,548110,103,12
51035,548110,103,12
51040,548110,103,12
51050,548110,103,12
51055,548110,103,27
50445,503250,103,3
51005,503250,103,12
51020,503250,103,12
51025,503250,103,12
51040,503250,103,12
51045,503250,103,12
51055,503250,103,12
50090,,103,37
51020,,103,3
51005,,103,24
51025,,103,24
51045,,103,24
51540,,103,12
51005,,103,48
51045,,103,48
51055,,103,24
51540,,103,2
51025,,103,30
51530,,103,10
50110,501700,103,1
50115,501700,103,1
50120,501700,103,1
50125,501700,103,1
51005,501700,103,1
51010,501700,103,1
51015,501700,103,12
51020,501700,103,3
51025,501700,103,1
51040,501700,103,1
51045,501700,103,1
51055,501700,103,1
51005,502650,112,3
51025,502650,112,26
51035,502650,112,6
51045,502650,112,3
51055,502650,112,2
50145,546340,112,1
50475,546340,112,1
50485,546340,112,1
51025,546340,112,12
51045,546340,112,12
51660,546340,112,1
51675,546340,112,1
52055,,112,3
52065,,112,3
52075,,112,3
52085,,112,3
50550,546920,112,3
50740,541460,112,3
51685,541460,112,2
51105,,112,1
51115,,112,1
52055,,112,3
52065,,112,3
52075,,112,3
51105,,112,2
51130,,112,2
51140,,112,2
51105,,112,1
51685,,112,2
51725,,112,10
50145,514910,112,2
52395,,51,2
52420,,51,12
50550,,51,6
50600,,51,6
50610,,51,3
50630,,51,6
50690,,51,3
50710,,51,3
50720,,51,3
52005,,51,6
52015,,51,3
52025,,51,6
52055,,51,12
52065,,51,12
52075,,51,12
50365,,51,1
50385,,51,1
51415,,51,1
51435,,51,1
50145,516240,51,2
50165,516240,51,2
50445,516240,51,2
50455,516240,51,2
50365,500060,51,1
50385,500060,51,1
51415,500060,51,2
51435,500060,51,2
51660,,51,3
51675,,51,3
50475,,51,1
50485,,51,1
51660,,51,1
51675,,51,1
50090,501570,51,2
50140,501570,51,1
50155,501570,51,3
50165,501570,51,2
51005,505610,51,1
51025,505610,51,9
51045,505610,51,2
51540,505610,51,37
51530,505610,51,42
51125,,51,20
51125,536310,51,15
51125,,51,4
50475,,51,1
51055,,51,12
51660,,51,1
51675,,51,1
50550,507370,51,1
50600,507370,51,1
50130,,126,1
50135,,126,1
50520,,126,3
50525,,126,6
51005,,126,6
51045,,126,6
51055,,126,6
51960,,126,1
52355,,126,1
50130,,36,5
50155,,36,1
50255,,36,3
50445,,36,1
50455,,36,3
50525,,36,4
51005,,36,6
51045,,36,6
51055,,36,6
52140,,36,1
52335,,36,12
50135,,28,10
50445,,28,1
50455,,28,1
50525,,28,6
51000,,28,3
50475,,117,1
51675,,117,1
52055,,117,3
52065,,117,3
52075,,117,3
52085,,117,3
50475,502000,117,1
50485,502000,117,1
51660,502000,117,1
51675,502000,117,1
51105,,117,2
51115,,117,2
51130,,117,2
51140,,117,2
51685,,117,2
51105,525560,117,1
51115,525560,117,1
51140,525560,117,1
51685,525560,117,1
51725,525560,117,5
50760,525560,117,3
50365,517250,117,1
50375,517250,117,1
50385,517250,117,1
51030,517250,117,2
51115,517250,117,2
51130,517250,117,1
51140,517250,117,2
51415,517250,117,1
51425,517250,117,1
51435,517250,117,1
51745,517250,117,1
51755,517250,117,1
51765,517250,117,1
50750,517250,117,3
50760,517250,117,3
50475,534740,130,1
50485,534740,130,1
51660,534740,130,1
51675,534740,130,1
50135,500950,130,12
51105,500950,130,1
51115,500950,130,1
51675,500950,130,1
52345,500950,130,12
50255,,112,8
50445,,112,1
50520,,112,3
50525,,112,1
51000,,112,1
51005,,112,4
51025,,112,4
51055,,112,4
52140,,112,7
50090,503850,124,20
51005,519150,124,24
51020,519150,124,12
51045,519150,124,12
51055,519150,124,24
51025,519150,124,24
51040,519150,124,16
50600,504630,124,3
50475,,124,3
50485,,124,3
51660,,124,3
51675,,124,3
50475,545710,124,1
50485,545710,124,1
51675,545710,124,1
51965,545710,124,12
50155,,47,1
50445,,47,1
50525,,47,3
51000,,47,2
